,Name,Theme,Filter,transformation,splines
1553,Consumo aparente - bens de consumo semi e não duráveis - índice dessaz. (média 2002= 100),Contas nacionais,1,0,0
1556,Consumo aparente - bens intermediários - índice (média 2012 = 100),Contas nacionais,1,0,0
1557,Consumo aparente - bens intermediários - índice dessaz. (média 2012 = 100),Contas nacionais,0,0,0
1602,Consumo aparente - bens de capital - índice (média 2012 = 100),Contas nacionais,1,0,0
1603,Consumo aparente - bens de capital - índice dessaz. (média 2012 = 100),Contas nacionais,0,0,0
1610,Preços - IPCA - preços livres - comercializáveis - var.,Preços,1,3,1
1612,Preços - IPCA - núcleo por exclusão - ex1 - var,Preços,1,3,1
1615,Preços - IPCA - preços livres - não comercializáveis - var.,Preços,1,3,1
1616,Preços - IPCA - preços livres - var.,Preços,1,3,1
1617,Preços - IPCA - preços livres - bens duráveis - var,Preços,1,3,1
1618,Preços - IPCA - preços livres - bens não duráveis - var,Preços,1,1,1
1619,Preços - IPCA - preços livres - bens semi duráveis - var,Preços,1,3,1
1620,Preços - IPCA - preços livres - serviços - var,Preços,1,3,1
1621,Preços - IPCA - preços monitorados - var.,Preços,1,3,1
1622,Núcleo de dupla ponderação - IPCA,Preços,1,1,1
1623,Preço médio - atacado - arroz (parboilizado tipo 2) - 30 kg - PR,Preços,0,0,1
1624,Preço médio - atacado - arroz (polido tipo 1) - 30 kg - PR,Preços,0,0,1
1625,Preço médio - atacado - bovinos - carcaça dianteira - kg - PR,Preços,0,0,1
1626,Preço médio - atacado - bovinos - carcaça traseira - kg - PR,Preços,0,0,1
1627,Preço médio - atacado - banha suína - kg - PR,Preços,0,0,1
1628,Preço médio - atacado - canjica amarela - 50 kg - PR,Preços,0,0,1
1629,Preço médio - atacado - feijão de cor - 30 kg - PR,Preços,0,0,1
1630,Preço médio - atacado - fécula - 25 kg - PR,Preços,0,0,1
1631,Preço médio - atacado - feijão preto - 30 kg - PR,Preços,0,0,1
1632,Preço médio - atacado - farinha de mandioca crua - 50 kg - PR,Preços,0,0,1
1633,Preço médio - atacado - farinha de mandioca torrada - 50 kg - PR,Preços,0,0,1
1634,Preço médio - atacado - farinha de mandioca prensada - 50 kg - PR,Preços,0,0,1
1635,Preço médio - atacado - frango congelado - kg - PR,Preços,0,0,1
1636,Preço médio - atacado - milho (em farelo) - tonelada - PR,Preços,0,0,1
1637,Preço médio - atacado - frango resfriado - kg - PR,Preços,0,0,1
1638,Preço médio - atacado - soja (em farelo) - tonelada - PR,Preços,0,0,1
1639,Preço médio - atacado - farinha de trigo - 50 kg - PR,Preços,0,0,1
1640,Preço médio - atacado - farinha de trigo - especial - kg - PR,Preços,0,0,1
1641,Preço médio - atacado - fubá amarelo - 50 kg - PR,Preços,0,0,1
1642,Preço médio - atacado - manteiga extra - kg - PR,Preços,0,0,1
1643,Preço médio - atacado - milho - 60 kg - PR,Preços,0,0,1
1644,Preço médio - atacado - óleo de soja - bruto - tonelada - PR,Preços,0,0,1
1645,Preço médio - atacado - óleo de soja - refinado - 20 latas - PR,Preços,0,0,1
1646,Preço médio - atacado - ovo extra tipo 1 - 30 dúzias - PR,Preços,0,0,1
1647,Preço médio - atacado - ovo grande tipo 2 - 30 dúzias - PR,Preços,0,0,1
1648,Preço médio - atacado - ovo médio tipo 3 - 30 dúzias - PR,Preços,0,0,1
1650,Preço médio - atacado - pinto de corte - unidade - PR,Preços,0,0,1
1652,Preço médio - atacado - queijo minas frescal (kg - PR),Preços,0,0,1
1653,Preço médio - atacado - queijo mussarela (kg - PR),Preços,0,0,1
1654,Preço médio - atacado - queijo parmesão (kg - PR),Preços,0,0,1
1655,Preço médio - atacado - queijo prato (kg - PR),Preços,0,0,1
1656,Preço médio - atacado - suínos - de raça - carcaça - kg - PR,Preços,0,0,1
